ID                                     0x7ade
Delivery_person_ID             INDORES15DEL02
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 22.760072
Restaurant_longitude                75.892574
Delivery_location_latitude          22.810072
Delivery_location_longitude         75.942574
Order_Date                         21-03-2022
Time_Orderd                             23:60
Time_Order_picked                       24:15
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 4988, dtype: object
