ID                                       0xd9d7
Delivery_person_ID                KNPRES12DEL02
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   26.492106
Restaurant_longitude                  80.327797
Delivery_location_latitude            26.512106
Delivery_location_longitude           80.347797
Order_Date                           11-02-2022
Time_Orderd                                9:25
Time_Order_picked                          9:35
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 13006, dtype: object
