ID                                      0x95c6
Delivery_person_ID             COIMBRES03DEL03
Delivery_person_Age                  32.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.025083
Restaurant_longitude                 77.015393
Delivery_location_latitude           11.055083
Delivery_location_longitude          77.045393
Order_Date                          01-03-2022
Time_Orderd                              18:55
Time_Order_picked                        19:10
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     27.000000
Name: 19369, dtype: object
