ID                                       0x2bb0
Delivery_person_ID                SURRES05DEL02
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   21.175104
Restaurant_longitude                  72.804342
Delivery_location_latitude            21.195104
Delivery_location_longitude           72.824342
Order_Date                           24-03-2022
Time_Orderd                                9:20
Time_Order_picked                          9:30
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 32396, dtype: object
