ID                                    0xc6a6
Delivery_person_ID             BHPRES08DEL03
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                23.232537
Restaurant_longitude               77.429845
Delivery_location_latitude         23.292537
Delivery_location_longitude        77.489845
Order_Date                        17-02-2022
Time_Orderd                            23:35
Time_Order_picked                      23:45
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                 NaN
City                                     NaN
Time_taken (min)                   11.000000
Name: 54, dtype: object
