ID                                    0xd52c
Delivery_person_ID             BHPRES12DEL03
Delivery_person_Age                    31.00
Delivery_person_Ratings                 4.30
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.09
Delivery_location_longitude             0.09
Order_Date                        14-02-2022
Time_Orderd                            18:60
Time_Order_picked                      19:15
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                     2.00
Festival                                 Yes
City                           Metropolitian
Time_taken (min)                       44.00
Name: 1502, dtype: object
