ID                                       0x4b0d
Delivery_person_ID                HYDRES20DEL01
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   17.483216
Restaurant_longitude                  78.552111
Delivery_location_latitude            17.493216
Delivery_location_longitude           78.562111
Order_Date                           07-03-2022
Time_Orderd                               11:35
Time_Order_picked                         11:40
Weather conditions                        Sunny
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      19.000000
Name: 30306, dtype: object
