ID                                     0x8fdc
Delivery_person_ID             INDORES16DEL03
Delivery_person_Age                 20.000000
Delivery_person_Ratings              3.600000
Restaurant_latitude                 22.744648
Restaurant_longitude                75.894377
Delivery_location_latitude          22.774648
Delivery_location_longitude         75.924377
Order_Date                         11-03-2022
Time_Orderd                             20:50
Time_Order_picked                       20:55
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  3.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    46.000000
Name: 23381, dtype: object
