ID                                       0x75ad
Delivery_person_ID                MYSRES18DEL01
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   12.337928
Restaurant_longitude                  76.617889
Delivery_location_latitude            12.347928
Delivery_location_longitude           76.627889
Order_Date                           03-03-2022
Time_Orderd                               11:10
Time_Order_picked                         11:15
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                                      Urban
Time_taken (min)                      31.000000
Name: 43661, dtype: object
