ID                                       0xa7a1
Delivery_person_ID               CHENRES17DEL02
Delivery_person_Age                   31.000000
Delivery_person_Ratings                3.900000
Restaurant_latitude                   13.045479
Restaurant_longitude                  80.233110
Delivery_location_latitude            13.175479
Delivery_location_longitude           80.363110
Order_Date                           18-03-2022
Time_Orderd                               22:35
Time_Order_picked                         22:40
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      37.000000
Name: 38453, dtype: object
