ID                                     0xc02f
Delivery_person_ID             LUDHRES09DEL02
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                -30.885814
Restaurant_longitude                75.786976
Delivery_location_latitude          30.965814
Delivery_location_longitude         75.866976
Order_Date                         14-02-2022
Time_Orderd                             17:60
Time_Order_picked                       18:15
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    36.000000
Name: 26996, dtype: object
