ID                                       0xa5b4
Delivery_person_ID               CHENRES20DEL01
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.975996
Restaurant_longitude                  80.221898
Delivery_location_latitude            12.985996
Delivery_location_longitude           80.231898
Order_Date                           03-04-2022
Time_Orderd                                9:15
Time_Order_picked                          9:30
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      16.000000
Name: 41014, dtype: object
