ID                                      0x1b97
Delivery_person_ID             COIMBRES02DEL03
Delivery_person_Age                  22.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.022477
Restaurant_longitude                 76.995667
Delivery_location_latitude           11.112477
Delivery_location_longitude          77.085667
Order_Date                          04-03-2022
Time_Orderd                              17:35
Time_Order_picked                        17:50
Weather conditions                       Sunny
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     10.000000
Name: 14065, dtype: object
