ID                                     0xdc7c
Delivery_person_ID             AURGRES20DEL03
Delivery_person_Age                     33.00
Delivery_person_Ratings                  4.30
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.06
Delivery_location_longitude              0.06
Order_Date                         11-02-2022
Time_Orderd                             17:35
Time_Order_picked                       17:50
Weather conditions                 Sandstorms
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        31.00
Name: 31580, dtype: object
