ID                                    0xc0f0
Delivery_person_ID             KOCRES02DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude               -10.028047
Restaurant_longitude               76.310019
Delivery_location_latitude         10.138047
Delivery_location_longitude        76.420019
Order_Date                        12-02-2022
Time_Orderd                            19:45
Time_Order_picked                      19:50
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 16770, dtype: object
