ID                                     0xdcc7
Delivery_person_ID             ALHRES010DEL03
Delivery_person_Age                     30.00
Delivery_person_Ratings                  4.60
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.09
Delivery_location_longitude              0.09
Order_Date                         18-02-2022
Time_Orderd                             22:60
Time_Order_picked                       23:10
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        19.00
Name: 31299, dtype: object
