ID                                       0xc7df
Delivery_person_ID               LUDHRES01DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   30.873988
Restaurant_longitude                  75.842739
Delivery_location_latitude            30.893988
Delivery_location_longitude           75.862739
Order_Date                           11-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         11:05
Weather conditions                          NaN
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      22.000000
Name: 20710, dtype: object
