ID                                      0xc25
Delivery_person_ID             CHENRES03DEL02
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 13.091809
Restaurant_longitude                80.219104
Delivery_location_latitude          13.141809
Delivery_location_longitude         80.269104
Order_Date                         01-04-2022
Time_Orderd                             22:55
Time_Order_picked                       23:10
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    18.000000
Name: 9008, dtype: object
