ID                                     0xc6b9
Delivery_person_ID             AURGRES11DEL01
Delivery_person_Age                     35.00
Delivery_person_Ratings                  4.00
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.07
Delivery_location_longitude              0.07
Order_Date                         16-02-2022
Time_Orderd                             19:55
Time_Order_picked                       20:10
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                      2.00
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                        48.00
Name: 12708, dtype: object
