ID                                      0xa63a
Delivery_person_ID             BANGRES010DEL02
Delivery_person_Age                  31.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  12.933298
Restaurant_longitude                 77.614293
Delivery_location_latitude           12.953298
Delivery_location_longitude          77.634293
Order_Date                          19-03-2022
Time_Orderd                              10:20
Time_Order_picked                        10:25
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     27.000000
Name: 3737, dtype: object
