ID                                    0x3ea4
Delivery_person_ID             VADRES03DEL01
Delivery_person_Age                    22.00
Delivery_person_Ratings                 4.80
Restaurant_latitude                    22.32
Restaurant_longitude                   73.17
Delivery_location_latitude             22.36
Delivery_location_longitude            73.21
Order_Date                        17-03-2022
Time_Orderd                            13:40
Time_Order_picked                      13:50
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                     0.00
Festival                                  No
City                                   Urban
Time_taken (min)                       19.00
Name: 42012, dtype: object
