ID                                     0xd31e
Delivery_person_ID             AURGRES16DEL01
Delivery_person_Age                     27.00
Delivery_person_Ratings                  4.80
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.01
Delivery_location_longitude              0.01
Order_Date                         11-02-2022
Time_Orderd                             11:15
Time_Order_picked                       11:25
Weather conditions                      Sunny
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                      0.00
Festival                                   No
City                                    Urban
Time_taken (min)                        10.00
Name: 37005, dtype: object
