ID                                       0x4adf
Delivery_person_ID                JAPRES02DEL01
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   26.914142
Restaurant_longitude                  75.805704
Delivery_location_latitude            27.024142
Delivery_location_longitude           75.915704
Order_Date                           14-03-2022
Time_Orderd                               23:55
Time_Order_picked                         23:60
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      19.000000
Name: 15941, dtype: object
