ID                                    0xd36b
Delivery_person_ID             KOLRES02DEL03
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                22.514585
Restaurant_longitude               88.393310
Delivery_location_latitude         22.604585
Delivery_location_longitude        88.483310
Order_Date                        16-02-2022
Time_Orderd                            23:40
Time_Order_picked                      23:45
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   35.000000
Name: 26675, dtype: object
