ID                                    0xc3b7
Delivery_person_ID             KNPRES01DEL03
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                26.483672
Restaurant_longitude               80.320708
Delivery_location_latitude         26.573672
Delivery_location_longitude        80.410708
Order_Date                        18-02-2022
Time_Orderd                            22:50
Time_Order_picked                      23:05
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                                   Urban
Time_taken (min)                   26.000000
Name: 16417, dtype: object
