ID                                    0xc2b7
Delivery_person_ID             AGRRES06DEL02
Delivery_person_Age                    28.00
Delivery_person_Ratings                 4.60
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.02
Delivery_location_longitude             0.02
Order_Date                        15-02-2022
Time_Orderd                             8:40
Time_Order_picked                       8:50
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                  No
City                                     NaN
Time_taken (min)                       17.00
Name: 39459, dtype: object
