ID                                     0xe0f1
Delivery_person_ID             LUDHRES02DEL01
Delivery_person_Age                     26.00
Delivery_person_Ratings                  5.00
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.04
Delivery_location_longitude              0.04
Order_Date                         13-02-2022
Time_Orderd                             14:10
Time_Order_picked                       14:25
Weather conditions                 Sandstorms
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                                    Urban
Time_taken (min)                        23.00
Name: 41808, dtype: object
