ID                                       0xa6bd
Delivery_person_ID               PUNERES20DEL03
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   18.592718
Restaurant_longitude                  73.773572
Delivery_location_latitude            18.622718
Delivery_location_longitude           73.803572
Order_Date                           28-03-2022
Time_Orderd                               17:50
Time_Order_picked                         17:55
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 22541, dtype: object
