ID                                      0xb9ec
Delivery_person_ID             COIMBRES04DEL03
Delivery_person_Age                  31.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.084839
Delivery_location_longitude          77.067003
Order_Date                          17-03-2022
Time_Orderd                              21:30
Time_Order_picked                        21:40
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     26.000000
Name: 18302, dtype: object
