ID                                       0xa1aa
Delivery_person_ID                SURRES02DEL01
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.200000
Restaurant_latitude                   21.186608
Restaurant_longitude                  72.794136
Delivery_location_latitude            21.296608
Delivery_location_longitude           72.904136
Order_Date                           06-04-2022
Time_Orderd                               21:25
Time_Order_picked                         21:40
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      37.000000
Name: 40882, dtype: object
