ID                                      0x577a
Delivery_person_ID             COIMBRES04DEL01
Delivery_person_Age                  20.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.034839
Delivery_location_longitude          77.017003
Order_Date                          01-03-2022
Time_Orderd                               9:30
Time_Order_picked                         9:40
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                   NaN
City                                     Urban
Time_taken (min)                     11.000000
Name: 3831, dtype: object
