ID                                    0x3cce
Delivery_person_ID             HYDRES17DEL02
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                17.451976
Restaurant_longitude               78.385883
Delivery_location_latitude         17.531976
Delivery_location_longitude        78.465883
Order_Date                        12-03-2022
Time_Orderd                            21:40
Time_Order_picked                      21:55
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   43.000000
Name: 42411, dtype: object
