ID                                    0x7bab
Delivery_person_ID             HYDRES12DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                17.429585
Restaurant_longitude               78.392621
Delivery_location_latitude         17.499585
Delivery_location_longitude        78.462621
Order_Date                        02-03-2022
Time_Orderd                            20:60
Time_Order_picked                      21:05
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 3.000000
Festival                                 Yes
City                           Metropolitian
Time_taken (min)                   49.000000
Name: 43118, dtype: object
