ID                                     0xc6b
Delivery_person_ID             JAPRES02DEL02
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.914142
Restaurant_longitude               75.805704
Delivery_location_latitude         26.964142
Delivery_location_longitude        75.855704
Order_Date                        05-03-2022
Time_Orderd                            17:10
Time_Order_picked                      17:15
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   13.000000
Name: 40816, dtype: object
