ID                                       0xe94
Delivery_person_ID             INDORES010DEL03
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  22.750040
Restaurant_longitude                 75.902847
Delivery_location_latitude           22.810040
Delivery_location_longitude          75.962847
Order_Date                          05-03-2022
Time_Orderd                              21:30
Time_Order_picked                        21:40
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     32.000000
Name: 21103, dtype: object
