ID                                      0xed8
Delivery_person_ID             BANGRES16DEL03
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 13.029198
Restaurant_longitude                77.570997
Delivery_location_latitude          13.119198
Delivery_location_longitude         77.660997
Order_Date                         04-03-2022
Time_Orderd                             19:35
Time_Order_picked                       19:45
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    36.000000
Name: 41758, dtype: object
