ID                                     0xd52d
Delivery_person_ID             LUDHRES07DEL01
Delivery_person_Age                     37.00
Delivery_person_Ratings                  4.90
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.01
Delivery_location_longitude              0.01
Order_Date                         11-02-2022
Time_Orderd                              9:45
Time_Order_picked                        9:55
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                                    Urban
Time_taken (min)                        24.00
Name: 16760, dtype: object
