ID                                       0xcf46
Delivery_person_ID               AURGRES04DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   19.876106
Restaurant_longitude                  75.340775
Delivery_location_latitude            19.926106
Delivery_location_longitude           75.390775
Order_Date                           15-02-2022
Time_Orderd                               21:40
Time_Order_picked                         21:50
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 11383, dtype: object
