ID                                     0xc8d2
Delivery_person_ID             LUDHRES12DEL01
Delivery_person_Age                 33.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 30.893244
Restaurant_longitude                75.821817
Delivery_location_latitude          30.903244
Delivery_location_longitude         75.831817
Order_Date                         17-02-2022
Time_Orderd                             11:40
Time_Order_picked                       11:45
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    32.000000
Name: 5615, dtype: object
