ID                                       0x8d6d
Delivery_person_ID                JAPRES11DEL03
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   26.902940
Restaurant_longitude                  75.793007
Delivery_location_latitude            26.962940
Delivery_location_longitude           75.853007
Order_Date                           28-03-2022
Time_Orderd                               23:15
Time_Order_picked                         23:30
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      19.000000
Name: 41230, dtype: object
