ID                                    0xc0de
Delivery_person_ID             KOLRES17DEL03
Delivery_person_Age                39.000000
Delivery_person_Ratings             3.400000
Restaurant_latitude               -22.569358
Restaurant_longitude               88.433452
Delivery_location_latitude         22.659358
Delivery_location_longitude        88.523452
Order_Date                        16-02-2022
Time_Orderd                            23:50
Time_Order_picked                      23:55
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 23256, dtype: object
