ID                                       0x3a1d
Delivery_person_ID             RANCHIRES14DEL03
Delivery_person_Age                       26.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.03
Delivery_location_longitude                0.03
Order_Date                           09-03-2022
Time_Orderd                               19:60
Time_Order_picked                         20:10
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          27.00
Name: 34976, dtype: object
