ID                                     0x5afb
Delivery_person_ID             INDORES04DEL02
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 22.753659
Restaurant_longitude                75.903365
Delivery_location_latitude          22.883659
Delivery_location_longitude         76.033365
Order_Date                         12-03-2022
Time_Orderd                             20:60
Time_Order_picked                       21:10
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    10.000000
Name: 2687, dtype: object
