ID                                      0x9b1
Delivery_person_ID             BANGRES18DEL01
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 12.913041
Restaurant_longitude                77.683237
Delivery_location_latitude          12.983041
Delivery_location_longitude         77.753237
Order_Date                         25-03-2022
Time_Orderd                             17:10
Time_Order_picked                       17:15
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    40.000000
Name: 40610, dtype: object
