ID                                    0x1ead
Delivery_person_ID             MUMRES20DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                19.103249
Restaurant_longitude               72.846749
Delivery_location_latitude         19.193249
Delivery_location_longitude        72.936749
Order_Date                        27-03-2022
Time_Orderd                              NaN
Time_Order_picked                      18:25
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   25.000000
Name: 34798, dtype: object
