ID                                       0x8da2
Delivery_person_ID                SURRES05DEL02
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   21.175104
Restaurant_longitude                  72.804342
Delivery_location_latitude            21.225104
Delivery_location_longitude           72.854342
Order_Date                           28-03-2022
Time_Orderd                               23:15
Time_Order_picked                         23:30
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      15.000000
Name: 29750, dtype: object
