ID                                      0x52b1
Delivery_person_ID             COIMBRES12DEL01
Delivery_person_Age                  26.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.070762
Delivery_location_longitude          77.051876
Order_Date                          08-03-2022
Time_Orderd                              23:30
Time_Order_picked                        23:45
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     14.000000
Name: 33448, dtype: object
