ID                                      0x724e
Delivery_person_ID             COIMBRES18DEL01
Delivery_person_Age                  32.000000
Delivery_person_Ratings               4.400000
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.090910
Delivery_location_longitude          77.010432
Order_Date                          29-03-2022
Time_Orderd                              19:30
Time_Order_picked                        19:45
Weather conditions                  Sandstorms
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     50.000000
Name: 15450, dtype: object
