ID                                        0x6dd
Delivery_person_ID                MYSRES19DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.334022
Restaurant_longitude                  76.618203
Delivery_location_latitude            12.374022
Delivery_location_longitude           76.658203
Order_Date                           09-03-2022
Time_Orderd                               13:60
Time_Order_picked                         14:05
Weather conditions                   Sandstorms
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 25661, dtype: object
