ID                                      0xadc
Delivery_person_ID             INDORES14DEL03
Delivery_person_Age                 32.000000
Delivery_person_Ratings              4.300000
Restaurant_latitude                 22.761593
Restaurant_longitude                75.886362
Delivery_location_latitude          22.851593
Delivery_location_longitude         75.976362
Order_Date                         29-03-2022
Time_Orderd                             20:45
Time_Order_picked                       20:55
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    48.000000
Name: 30829, dtype: object
