ID                                       0x7fa2
Delivery_person_ID             RANCHIRES13DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   23.374989
Restaurant_longitude                  85.335486
Delivery_location_latitude            23.394989
Delivery_location_longitude           85.355486
Order_Date                           15-03-2022
Time_Orderd                                8:60
Time_Order_picked                          9:10
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 21085, dtype: object
