ID                                    0xbfa7
Delivery_person_ID             KNPRES02DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.471617
Restaurant_longitude               80.313564
Delivery_location_latitude         26.541617
Delivery_location_longitude        80.383564
Order_Date                        12-02-2022
Time_Orderd                            22:35
Time_Order_picked                      22:45
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 31258, dtype: object
