ID                                       0x231a
Delivery_person_ID                MUMRES17DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   19.121999
Restaurant_longitude                  72.908493
Delivery_location_latitude            19.201999
Delivery_location_longitude           72.988493
Order_Date                           25-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         21:40
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    3.000000
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                      48.000000
Name: 8124, dtype: object
