ID                                        0x91f
Delivery_person_ID               BANGRES18DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   12.913041
Restaurant_longitude                  77.683237
Delivery_location_latitude            12.953041
Delivery_location_longitude           77.723237
Order_Date                           24-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         15:35
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      23.000000
Name: 5633, dtype: object
