ID                                     0x6e2e
Delivery_person_ID             INDORES18DEL01
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 22.753839
Restaurant_longitude                75.897429
Delivery_location_latitude          22.763838
Delivery_location_longitude         75.907429
Order_Date                         26-03-2022
Time_Orderd                             10:15
Time_Order_picked                       10:30
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    23.000000
Name: 33741, dtype: object
