ID                                       0x2ec3
Delivery_person_ID             RANCHIRES14DEL02
Delivery_person_Age                       37.00
Delivery_person_Ratings                    4.30
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.02
Delivery_location_longitude                0.02
Order_Date                           21-03-2022
Time_Orderd                               11:15
Time_Order_picked                         11:25
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          33.00
Name: 19802, dtype: object
