ID                                     0xc53a
Delivery_person_ID             AURGRES20DEL01
Delivery_person_Age                     22.00
Delivery_person_Ratings                  4.90
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.11
Delivery_location_longitude              0.11
Order_Date                         16-02-2022
Time_Orderd                             23:10
Time_Order_picked                       23:20
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                      0.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        13.00
Name: 6292, dtype: object
