ID                                       0x4a4e
Delivery_person_ID                MYSRES04DEL02
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.308500
Restaurant_longitude                  76.665808
Delivery_location_latitude            12.328500
Delivery_location_longitude           76.685808
Order_Date                           01-04-2022
Time_Orderd                                8:60
Time_Order_picked                          9:05
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 6867, dtype: object
