ID                                     0x371c
Delivery_person_ID             PUNERES01DEL03
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.300000
Restaurant_latitude                 18.569156
Restaurant_longitude                73.774723
Delivery_location_latitude          18.599156
Delivery_location_longitude         73.804723
Order_Date                         05-04-2022
Time_Orderd                             22:60
Time_Order_picked                       23:15
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                    27.000000
Name: 8080, dtype: object
