ID                                    0xc3f7
Delivery_person_ID             KNPRES01DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.483672
Restaurant_longitude               80.320708
Delivery_location_latitude         26.523672
Delivery_location_longitude        80.360708
Order_Date                        11-02-2022
Time_Orderd                            12:25
Time_Order_picked                      12:35
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   27.000000
Name: 25612, dtype: object
