ID                                    0xc7b4
Delivery_person_ID             KNPRES20DEL03
Delivery_person_Age                    37.00
Delivery_person_Ratings                 4.70
Restaurant_latitude                    26.47
Restaurant_longitude                   80.35
Delivery_location_latitude             26.56
Delivery_location_longitude            80.44
Order_Date                        12-02-2022
Time_Orderd                            22:60
Time_Order_picked                      23:15
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                                   Urban
Time_taken (min)                       26.00
Name: 41064, dtype: object
