ID                                     0xd0fb
Delivery_person_ID             AURGRES17DEL01
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 19.876994
Restaurant_longitude                75.372353
Delivery_location_latitude          19.916994
Delivery_location_longitude         75.412353
Order_Date                         17-02-2022
Time_Orderd                             16:45
Time_Order_picked                       16:55
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    21.000000
Name: 36053, dtype: object
