ID                                       0xa6bc
Delivery_person_ID                VADRES17DEL01
Delivery_person_Age                       30.00
Delivery_person_Ratings                    4.10
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           21-03-2022
Time_Orderd                               16:30
Time_Order_picked                         16:40
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          34.00
Name: 32163, dtype: object
