ID                                      0x8a0
Delivery_person_ID             BANGRES11DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 12.934365
Restaurant_longitude                77.616155
Delivery_location_latitude          13.064365
Delivery_location_longitude         77.746155
Order_Date                         16-03-2022
Time_Orderd                               NaN
Time_Order_picked                       23:25
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    24.000000
Name: 23849, dtype: object
